tournament_full_name,tournament_name,tournament_year,tournament_split,tournament_region,tournament_url,game_title,game_map,game_day,game_num,game_id
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #1,Storm Point,1,1,f41e482f7ff51cee61afb2809fceecef
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #2,Storm Point,1,2,a00fbb58ee6e74062075f85a1b00a357
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #3,Storm Point,1,3,1aa5156c4996931470898527829226e2
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #4,World's Edge,1,4,945ac24de5741a438c3dfd5def40e6cd
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #5,World's Edge,1,5,07e7b750c1c330401bddd9310cd5bf9c
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 1 - Game #6,World's Edge,1,6,3dbcc8781a2429fb7efba9fa9ad7fc61
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #1,Storm Point,2,1,37b2d8644600c39891b0de33be179a4c
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #2,Storm Point,2,2,0a54929116df794ae82d8b6d08279fd6
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #3,Storm Point,2,3,eaeff2c58e469ad83008091b0980c54c
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #4,World's Edge,2,4,57842a5395b56c4ef2972e11383967c4
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #5,World's Edge,2,5,f8daccf64876e3d7339cfa7fd7221137
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 2 - Game #6,World's Edge,2,6,2f066f4ab1639b66208bbf376de7b095
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #1,Storm Point,3,1,3a4e25175d81ffa2f679231293ff83e5
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #2,Storm Point,3,2,ce43eb29f895451c3742d147e7e5bb1f
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #3,Storm Point,3,3,3c25e2dc0c70c902e7a61015d8e1cec0
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #4,World's Edge,3,4,eb363058491ce6c21ec050883d6cb52d
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #5,World's Edge,3,5,98547df92bfc1dc1ea946076c0997de3
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 3 - Game #6,World's Edge,3,6,07ecb8e7cd0dbeb4f1a23f29d9c744b3
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #1,Storm Point,4,1,909666a3bb9b5d14f17c288acb5a0832
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #2,Storm Point,4,2,df4bdb9571e3c7c30c3a879a4380bb3b
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #3,Storm Point,4,3,8117f9f478aaf6a317f8f75213e8daf6
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #4,World's Edge,4,4,d0ff1ff272043f2015a7eff37f617bdc
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #5,World's Edge,4,5,1a9a4734c5d6c7db49d6e3a83883f510
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 4 - Game #6,World's Edge,4,6,874e9a9c81f2216936fc7265a520aae3
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #1,Storm Point,5,1,2a36a813cd3444cb8152c7aea9a9219d
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #2,Storm Point,5,2,8b2e36b4a11b02b37b4d473752c4c3d8
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #3,Storm Point,5,3,6663298c2a410a8c03144fd121c240d4
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #4,World's Edge,5,4,157a8320b49a8bbff8c91812e53096e4
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #5,World's Edge,5,5,3f4e58d0b8b6cde747af58ec90525844
"Pro League - Year 3, Split 1",Pro League,3,1,EMEA,/algs/Y3-Split1/Pro-League/EMEA/Overview,Day 5 - Game #6,World's Edge,5,6,0fc9fba349a1ff4eb2573379335431c4
