player_hash,weapon_name,shots,hits,damage_dealt,time,game_id,start_fight_time,player_name
2a1ee9636c3b8b522be7a6a8d1b80cec,VK-47 Flatline,30,7,108,2023-03-19 01:10:24,cf5a7ec786aa66d14115cae92497b89e,1679188217,Enemy
ce9b0da33897e72e62922937b7607261,C.A.R. SMG,32,27,54,2023-03-19 01:10:46,cf5a7ec786aa66d14115cae92497b89e,1679188227,OXG Aidan
fdfb4782647a0bbe26eb080cfd82c788,R-99 SMG,45,25,60,2023-03-19 01:10:32,cf5a7ec786aa66d14115cae92497b89e,1679188227,DZ Genburten
b42633fefd2eea0fe218c19489d81cab,R-99 SMG,30,5,56,2023-03-19 01:11:20,cf5a7ec786aa66d14115cae92497b89e,1679188266,Slayr
1bee89e95b5a1d0f44efe39c6bdcd0cb,Prowler Burst PDW,30,1,12,2023-03-19 01:11:16,cf5a7ec786aa66d14115cae92497b89e,1679188266,senoxe
c1baf91fbbf238bf26d68a28118b5f93,Wingman,9,1,41,2023-03-19 01:11:54,cf5a7ec786aa66d14115cae92497b89e,1679188309,100T Onmuu
2377583ab85e432c8aee7b867e2735da,Sentinel,6,1,109,2023-03-19 01:11:57,cf5a7ec786aa66d14115cae92497b89e,1679188309,scuwry
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,5,1,2,2023-03-19 01:11:58,cf5a7ec786aa66d14115cae92497b89e,1679188313,Awons
2f59e209a0248ee7529753e6fabf33af,Wingman,6,1,41,2023-03-19 01:12:02,cf5a7ec786aa66d14115cae92497b89e,1679188313,Flinzar
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,16,2,44,2023-03-19 01:12:02,cf5a7ec786aa66d14115cae92497b89e,1679188313,IcyRvR
ebb81458a29f44e9c2c30c75008e3223,Nemesis Burst AR,56,38,142,2023-03-19 01:12:00,cf5a7ec786aa66d14115cae92497b89e,1679188315,DZ Zer0
0eb80444ef28d6458238a5019649ca8d,Nemesis Burst AR,40,38,163,2023-03-19 01:12:00,cf5a7ec786aa66d14115cae92497b89e,1679188315,DZ Sharky
fdfb4782647a0bbe26eb080cfd82c788,G7 Scout,33,20,165,2023-03-19 01:12:01,cf5a7ec786aa66d14115cae92497b89e,1679188315,DZ Genburten
